2025-07-29 06:32:45 | WebSearch | 100c9686-088c-4e35-9a25-3b12acbb258b | 37d-source-validator_raw_WebSearch_20250729_063245.json | Władysław Reymont Nobel Prize 1924 Swedish Academy deliberations Thomas Mann George Bernard Shaw
2025-07-29 06:33:04 | WebSearch | 100c9686-088c-4e35-9a25-3b12acbb258b | 37d-source-validator_raw_WebSearch_20250729_063304.json | Władysław Reymont railway accident 1900 40000 rubles compensation Warsaw-Vienna Railway
2025-07-29 06:33:25 | WebSearch | 100c9686-088c-4e35-9a25-3b12acbb258b | 37d-source-validator_raw_WebSearch_20250729_063325.json | "Władysław Reymont" autobiography Nobel Prize 1902 train accident Warsaw
2025-07-29 06:33:48 | WebSearch | 100c9686-088c-4e35-9a25-3b12acbb258b | 37d-source-validator_raw_WebSearch_20250729_063348.json | "The Peasants" 2023 film 1.5 million admissions Poland DK Welchman Hugh Welchman
2025-07-29 06:34:07 | WebSearch | 100c9686-088c-4e35-9a25-3b12acbb258b | 37d-source-validator_raw_WebSearch_20250729_063407.json | "Anna Zaranko" "Found in Translation Award" 2023 "Chłopi" "The Peasants"
2025-07-29 06:34:35 | WebSearch | 100c9686-088c-4e35-9a25-3b12acbb258b | 37d-source-validator_raw_WebSearch_20250729_063435.json | "Chłopi" "lektura obowiązkowa" liceum matura 2006 exam
2025-07-29 06:34:49 | WebSearch | 100c9686-088c-4e35-9a25-3b12acbb258b | 37d-source-validator_raw_WebSearch_20250729_063449.json | "The Peasants" 2023 "sold to 40 countries" Poland Oscar entry Toronto Film Festival
2025-07-29 06:35:16 | WebSearch | 100c9686-088c-4e35-9a25-3b12acbb258b | 37d-source-validator_raw_WebSearch_20250729_063516.json | "The Peasants" 2023 Poland Oscar submission international distribution
2025-07-29 06:35:30 | WebSearch | 100c9686-088c-4e35-9a25-3b12acbb258b | 37d-source-validator_raw_WebSearch_20250729_063530.json | "lubimyczytać.pl" "Chłopi" "6.5/10" "11,788 ratings" "20,717 people"
2025-07-29 06:35:43 | WebFetch | 100c9686-088c-4e35-9a25-3b12acbb258b | 37d-source-validator_raw_WebFetch_20250729_063543.json | Extract the rating statistics for this book including average rating, number of ratings, number of r
2025-07-29 06:35:56 | WebFetch | 100c9686-088c-4e35-9a25-3b12acbb258b | 37d-source-validator_raw_WebFetch_20250729_063556.json | Extract the rating statistics for this book including average rating, number of ratings, number of r
2025-07-29 06:36:15 | WebSearch | 100c9686-088c-4e35-9a25-3b12acbb258b | 37d-source-validator_raw_WebSearch_20250729_063615.json | site:lubimyczytac.pl "Władysław Stanisław Reymont" Chłopi rating
2025-07-29 06:36:30 | WebFetch | 100c9686-088c-4e35-9a25-3b12acbb258b | 37d-source-validator_raw_WebFetch_20250729_063630.json | Extract the exact rating statistics for this book including average rating, number of ratings, numbe
