folder,style
0001_alice_in_wonderland,dadaism-style.yaml
0002_animal_farm,constructivist-propaganda-style.yaml
0003_anna_karenina,romanticism-art-style.yaml
0004_brave_new_world,utopian-futurism-style.yaml
0005_chlopi,naive-art-style.yaml
0006_don_quixote,baroque-tenebrism-style.yaml
0007_dune,psychedelic-art-style.yaml
0008_emma,victorian-book-illustration-style.yaml
0009_fahrenheit_451,glitch-art-style.yaml
0010_great_gatsby,art-deco-poster-style.yaml
0011_gullivers_travels,hatching-crosshatch-style.yaml
0012_harry_potter,concept-art-fantasy-style.yaml
0013_hobbit,celtic-knotwork-style.yaml
0014_jane_eyre,gothic-fantasy-style.yaml
0015_lady_of_the_camellias,impressionism-style.yaml
0016_lalka,realism-art-style.yaml
0017_little_prince,children-book-illustration-style.yaml
0018_lord_of_the_rings,illuminated-manuscript-style.yaml
0019_master_and_margarita,surrealist-dreamlike-style.yaml
0020_narnia,celestial-fantasy-style.yaml
0021_nineteen_eighty_four,dystopian-futurism-style.yaml
0022_of_mice_and_men,ashcan-school-style.yaml
0023_one_hundred_years_of_solitude,surrealism-art-style.yaml
0024_pan_tadeusz,romanticism-art-style.yaml
0025_pride_and_prejudice,victorian-book-illustration-style.yaml
0026_quo_vadis,neoclassicism-style.yaml
0027_robinson_crusoe,scratchboard-style.yaml
0028_romeo_and_juliet,renaissance-art-style.yaml
0029_schulza_sklepy_cynamonowe,symbolism-art-movement-style.yaml
0030_solaris,ai-gemini-bio-vellum-style.yaml
0031_the_call_of_cthulhu,ai-gemini-psych-noir-style.yaml
0032_the_catcher_in_the_rye,abstract-expressionism-style.yaml
0033_the_count_of_monte_cristo,neoclassicism-style.yaml
0034_the_da_vinci_code,renaissance-art-style.yaml
0035_the_exorcist,expressionist-style.yaml
0036_the_godfather,noir-pulp-fiction-style.yaml
0037_the_kama_sutra,persian-miniature-style.yaml
0038_the_old_man_and_the_sea,minimalism-art-style.yaml
0039_the_picture_of_dorian_gray,art-nouveau-style.yaml
0040_the_plague,socialist-realism-style.yaml
0041_the_shining,ai-gemini-psych-noir-style.yaml
0042_the_three_musketeers,baroque-tenebrism-style.yaml
0043_to_kill_a_mockingbird,realism-art-style.yaml
0044_treasure_island,woodcut-style.yaml
0045_ulysses,cubism-style.yaml
0046_wuthering_heights,gothic-art-style.yaml
0047_the_iliad,fresco-painting-style.yaml
0048_the_odyssey,fresco-painting-style.yaml
0049_the_aeneid,neoclassicism-style.yaml
0050_the_divine_comedy,gothic-art-style.yaml
0051_the_canterbury_tales,illuminated-manuscript-style.yaml
0052_le_morte_darthur,pre-raphaelite-brotherhood-style.yaml
0053_the_decameron,renaissance-art-style.yaml
0054_the_prince,renaissance-art-style.yaml
0055_gargantua_and_pantagruel,art-brut-style.yaml
0056_essays,pen-and-ink-drawing-style.yaml
0057_paradise_lost,baroque-tenebrism-style.yaml
0058_the_pilgrims_progress,woodcut-style.yaml
0059_candide,rococo-style.yaml
0060_the_social_contract,neoclassicism-style.yaml
0061_faust,romanticism-art-style.yaml
0062_frankenstein,gothic-fantasy-style.yaml
0063_moby_dick,romanticism-art-style.yaml
0064_madame_bovary,realism-art-style.yaml
0065_les_misérables,realism-art-style.yaml
0066_crime_and_punishment,expressionist-style.yaml
0067_war_and_peace,realism-art-style.yaml
0068_the_brothers_karamazov,expressionist-style.yaml
0069_a_dolls_house,art-nouveau-style.yaml
0070_the_adventures_of_sherlock_holmes,victorian-book-illustration-style.yaml
0071_dracula,gothic-art-style.yaml
0072_the_jungle_book,eco-botanical-style.yaml
0073_heart_of_darkness,expressionist-style.yaml
0074_the_call_of_the_wild,realism-art-style.yaml
0075_the_metamorphosis,surrealism-art-style.yaml
0076_dubliners,ashcan-school-style.yaml
0077_a_portrait_of_the_artist_as_a_young_man,expressionist-style.yaml
0078_the_age_of_innocence,impressionism-style.yaml
0079_the_great_gatsby,art-deco-style.yaml
0080_the_sun_also_rises,impressionism-style.yaml
0081_as_i_lay_dying,art-brut-style.yaml
0082_gone_with_the_wind,romanticism-art-style.yaml
0083_the_grapes_of_wrath,realism-art-style.yaml
0084_for_whom_the_bell_tolls,constructivist-propaganda-style.yaml
0085_the_little_prince,watercolor-style.yaml
0086_no_exit,expressionist-style.yaml
0087_the_second_sex,bauhaus-style.yaml
0088_the_old_man_and_the_sea,minimalism-art-style.yaml
0089_lolita,pop-art-style.yaml
0090_on_the_road,abstract-expressionism-style.yaml
0091_doctor_zhivago,socialist-realism-style.yaml
0092_things_fall_apart,afrofuturism-style.yaml
0093_the_tin_drum,surrealism-art-style.yaml
0094_catch-22,dadaism-style.yaml
0095_a_clockwork_orange,pop-art-style.yaml
0096_one_flew_over_the_cuckoos_nest,art-brut-style.yaml
0097_the_bell_jar,expressionist-style.yaml
0098_slaughterhouse-five,ai-gemini-chrono-cubism-style.yaml
0099_do_androids_dream_of_electric_sheep,cyberpunk-style.yaml
0100_i_know_why_the_caged_bird_sings,realism-art-style.yaml
0101_the_color_purple,naive-art-style.yaml
0102_beloved,surrealism-art-style.yaml
0103_the_handmaids_tale,dystopian-futurism-style.yaml
0104_the_alchemist,mythological-epic-style.yaml
0105_life_of_pi,surrealist-dreamlike-style.yaml
0106_the_kite_runner,realism-art-style.yaml
0107_the_road,dystopian-futurism-style.yaml
0108_the_book_thief,woodcut-style.yaml
0109_the_hunger_games,dystopian-futurism-style.yaml
0110_gone_girl,noir-pulp-fiction-style.yaml
0111_the_martian,concept-art-sci-fi-style.yaml
0112_the_girl_on_the_train,noir-pulp-fiction-style.yaml
0113_the_republic,neoclassicism-style.yaml
0114_the_prince,renaissance-art-style.yaml
0115_leviathan,baroque-tenebrism-style.yaml
0116_discourse_on_method,bauhaus-style.yaml
0117_the_wealth_of_nations,realism-art-style.yaml
0118_the_trial,expressionist-style.yaml
0119_the_art_of_war,ink-wash-painting-style.yaml
0120_the_tao_te_ching,ink-wash-painting-style.yaml
0121_the_analects,ink-wash-painting-style.yaml
0122_the_upanishads,persian-miniature-style.yaml
0123_the_bhagavad_gita,persian-miniature-style.yaml
0124_the_quran,islamic-geometric-patterns-style.yaml
0125_the_communist_manifesto,constructivist-propaganda-style.yaml
0126_das_kapital,constructivist-propaganda-style.yaml
0127_on_liberty,swiss-style-typography.yaml
0128_thus_spoke_zarathustra,symbolism-art-movement-style.yaml
0129_the_second_sex,bauhaus-typography-style.yaml
0130_the_wretched_of_the_earth,afrofuturism-style.yaml
0131_on_the_origin_of_species,eco-botanical-style.yaml
0132_the_interpretation_of_dreams,surrealism-art-style.yaml
0133_silent_spring,solarpunk-style.yaml
0134_pere_goriot,realism-art-style.yaml
0135_adventures_of_huckleberry_finn,vintage-cartoon-style.yaml
0136_in_search_of_lost_time,impressionism-style.yaml
0137_mrs_dalloway,impressionism-style.yaml
0138_the_waste_land,abstract-expressionism-style.yaml
0139_the_sound_and_the_fury,abstract-expressionism-style.yaml
0140_the_stranger,minimalism-art-style.yaml
0141_waiting_for_godot,dadaism-style.yaml
0142_the_real_story_of_ahq,woodcut-linocut-style.yaml
0143_gitanjali,persian-miniature-style.yaml
0144_ficciones,surrealism-art-style.yaml
0145_the_cairo_trilogy,realism-art-style.yaml
0146_season_of_migration_to_the_north,afrofuturism-style.yaml
0147_the_god_of_small_things,naive-art-style.yaml
0148_midnight_children,surrealism-art-style.yaml
0149_the_house_of_the_spirits,surrealism-art-style.yaml
0150_love_in_the_time_of_cholera,romanticism-art-style.yaml
